Firmware	version:	0741705B9																											
File	Creation	Date:	16/05/2019	17:49:03																									
Battery	Level:	6.5																											
TideMaster	S/N:	63590																											
Station	ID:	1																											
Site	info:	VALEPORT	MLK1																										
Calibrated:	23/03/2018																												
Mode:	B52																												
Pressure	units:	m																											
output	format:	TIDEMASTER																											
Pressure:																													
User	Pressure	cal:																											
Gain:	1.029293																												
Offset:	-0.270551																												
Vale	Pressure	cal:																											
P0:	-1.85E-09																												
P1:	0.003198																												
P2:	-1.758161																												
Wind	speed	units:	m\sec																										
Air	Pressure	units:	mBar																										
Air	Temperature	units:	DegC																										
Timestamp	Depth	Depth	stdev	Wspeed	Wspeed	stdev	Max	Gust	Wdir	Wdir	stdev	Air	Pressure	Air	Pressure	stdev	Air	Temperature	Air	Temperature	stdev	Dewpoint	Dewpoint	stdev	Humidity	Humidity	stdev	Batt	Status
																													
16/05/2019	17:50:00	0.994	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	17:55:00	0.952	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:00:00	0.96	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:05:00	0.946	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:10:00	0.96	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:15:00	0.966	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:20:00	0.926	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:25:00	0.931	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:30:00	0.922	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	18:35:00	0.927	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	18:40:00	0.936	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0											
16/05/2019	18:45:00	0.934	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	18:50:00	0.932	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	18:55:00	0.935	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:00:00	0.925	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:05:00	0.919	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:10:00	0.944	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:15:00	0.94	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:20:00	0.933	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:25:00	0.967	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:30:00	0.962	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:35:00	0.965	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:40:00	0.984	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:45:00	1	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:50:00	0.993	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	19:55:00	1.024	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:00:00	1.01	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:05:00	1.055	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:10:00	1.063	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:15:00	1.068	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:20:00	1.095	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:25:00	1.132	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	20:30:00	1.113	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:35:00	1.155	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:40:00	1.151	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	20:45:00	1.191	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	20:50:00	1.2	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0											
16/05/2019	20:55:00	1.215	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:00:00	1.251	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:05:00	1.247	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:10:00	1.294	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:15:00	1.316	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:20:00	1.313	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:25:00	1.342	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:30:00	1.356	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:35:00	1.384	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:40:00	1.412	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:45:00	1.428	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:50:00	1.452	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	21:55:00	1.457	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:00:00	1.505	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:05:00	1.519	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:10:00	1.522	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:15:00	1.564	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:20:00	1.6	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:25:00	1.589	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:30:00	1.607	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:35:00	1.622	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:40:00	1.639	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:45:00	1.652	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:50:00	1.718	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	22:55:00	1.722	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	23:00:00	1.735	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	23:05:00	1.752	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	23:10:00	1.748	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	23:15:00	1.795	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	23:20:00	1.819	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
16/05/2019	23:25:00	1.846	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
16/05/2019	23:30:00	1.835	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0											
16/05/2019	23:35:00	1.853	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
16/05/2019	23:40:00	1.849	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
16/05/2019	23:45:00	1.877	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
16/05/2019	23:50:00	1.894	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
16/05/2019	23:55:00	1.89	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:00:00	1.934	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:05:00	1.916	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:10:00	1.933	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:15:00	1.936	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:20:00	1.927	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:25:00	1.967	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:30:00	1.946	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:35:00	1.944	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:40:00	1.971	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:45:00	1.944	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:50:00	1.952	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	0:55:00	1.978	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:00:00	1.97	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:05:00	1.968	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:10:00	1.944	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:15:00	1.96	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:20:00	1.966	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:25:00	1.953	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:30:00	1.97	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:35:00	1.95	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:40:00	1.941	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:45:00	1.947	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:50:00	1.934	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	1:55:00	1.929	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:00:00	1.891	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:05:00	1.911	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:10:00	1.923	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:15:00	1.898	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:20:00	1.887	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:25:00	1.877	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
